id	start	end	kind	name	confidence	source	summary
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080A107:4080A65D	4080A107	4080A65D	data_region	string_cluster 4080A107	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080A3A4:4080A5D4	4080A3A4	4080A5D4	data_region	string_cluster 4080A3A4	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080A6E1:4080A810	4080A6E1	4080A810	data_region	string_cluster 4080A6E1	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080AA28:4080B338	4080AA28	4080B338	data_region	string_cluster 4080AA28	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080B490:4080B764	4080B490	4080B764	data_region	string_cluster 4080B490	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080B98C:4080C095	4080B98C	4080C095	data_region	string_cluster 4080B98C	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C1EA:4080C3D7	4080C1EA	4080C3D7	data_region	string_cluster 4080C1EA	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C506:4080C7F5	4080C506	4080C7F5	data_region	string_cluster 4080C506	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C9D4:4080DD7E	4080C9D4	4080DD7E	data_region	string_cluster 4080C9D4	0.7	stackimport	string_cluster
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080CE64:DRVR	4080CE64		resource_marker	DRVR marker 4080CE64		rom_structure_analysis	.f... J..B.YO/<DRVR/,..1.......&. Lp-.ng.J.fB`...&P"Sp..)..T@..
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080CF78:DRVR	4080CF78		resource_marker	DRVR marker 4080CF78		rom_structure_analysis	.<g...SDSBn.YO/<DRVR E/(..1.......&.f.08.`g....@.@g...`..dBg ./.
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080D52A:boot	4080D52A		resource_marker	boot marker 4080D52A		rom_structure_analysis	<hdwra...a..( <boot`..t0<...F"H0:.p.F..Nu/0......Nu/. <slepa..L
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080D7A4	4080D7A4		function_candidate	fn4080D7A4		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080E0EB:4080E3C7	4080E0EB	4080E3C7	data_region	string_cluster 4080E0EB	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080E4EA:4080EF40	4080E4EA	4080EF40	data_region	string_cluster 4080E4EA	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080E6F9:4080EAA8	4080E6F9	4080EAA8	data_region	string_cluster 4080E6F9	0.7	stackimport	string_cluster
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F130	4080F130		function_candidate	fn4080F130		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F130	4080F130		function_candidate	fn4080F130	0.95	rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F188:4080F33C	4080F188	4080F33C	data_region	string_cluster 4080F188	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F459:4080F9C8	4080F459	4080F9C8	data_region	string_cluster 4080F459	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F463:4080F4D8	4080F463	4080F4D8	data_region	string_cluster 4080F463	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F5E4:40810588	4080F5E4	40810588	data_region	string_cluster 4080F5E4	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080FC38:4080FE36	4080FC38	4080FE36	data_region	string_cluster 4080FC38	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080FF8A:40810029	4080FF8A	40810029	data_region	string_cluster 4080FF8A	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40810174:408102CA	40810174	408102CA	data_region	string_cluster 40810174	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408107AA:40810CED	408107AA	40810CED	data_region	string_cluster 408107AA	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40810E2C:40811687	40810E2C	40811687	data_region	string_cluster 40810E2C	0.7	stackimport	string_cluster
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40811396	40811396		function_candidate	fn40811396	0.95	stackimport	
