id	address	name	kind	confidence	source	target
function:40800074:early-rom-startup	40800074	Early ROM startup / supervisor setup	function	medium	agent_note	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081B26C:4081BA26	4081B26C	string_cluster 4081B26C	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B3DB:4081B44C	4081B3DB	string_cluster 4081B3DB	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B573:4081B5EB	4081B573	string_cluster 4081B573	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B746:4081B90F	4081B746	string_cluster 4081B746	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081BB48:4081C3C2	4081BB48	string_cluster 4081BB48	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081BC3C:4081C389	4081BC3C	string_cluster 4081BC3C	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081C4CB:4081C5BE	4081C4CB	string_cluster 4081C4CB	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081C6FD:4081C73E	4081C6FD	string_cluster 4081C6FD	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081C847:4081CAAE	4081C847	string_cluster 4081C847	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081C8B2:4081DB9E	4081C8B2	string_cluster 4081C8B2	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081CBD0:4081CC54	4081CBD0	string_cluster 4081CBD0	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081CD84:4081CFC8	4081CD84	string_cluster 4081CD84	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D138:4081D340	4081D138	string_cluster 4081D138	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D51F:4081D5D9	4081D51F	string_cluster 4081D51F	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D70E:4081D7AA	4081D70E	string_cluster 4081D70E	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D9D8:4081DC71	4081D9D8	string_cluster 4081D9D8	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081DCE8:4081E0EE	4081DCE8	string_cluster 4081DCE8	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081DDB7:4081DF2B	4081DDB7	string_cluster 4081DDB7	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081E214:4081E8AA	4081E214	string_cluster 4081E214	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081EA26:4081EC8E	4081EA26	string_cluster 4081EA26	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081EDD4:4081EF56	4081EDD4	string_cluster 4081EDD4	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081F074:4081F520	4081F074	string_cluster 4081F074	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081F2A7:4081F60D	4081F2A7	string_cluster 4081F2A7	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081F3DC	4081F3DC	fn4081F3DC	function_candidate	0.95	rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081F7F5:408201CC	4081F7F5	string_cluster 4081F7F5	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081F8E7:4081FA16	4081F8E7	string_cluster 4081F8E7	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081FA6C	4081FA6C	fn4081FA6C	function_candidate		rom_structure_analysis	
