id	start	end	kind	name	items	confidence	source	evidence
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408180A5:40818188	408180A5	40818188	string_cluster	string_cluster 408180A5	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408182D0:408187C6	408182D0	408187C6	string_cluster	string_cluster 408182D0	19	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408185A8:40818943	408185A8	40818943	string_cluster	string_cluster 408185A8	21	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408189CD:40818B43	408189CD	40818B43	string_cluster	string_cluster 408189CD	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40818A94:40819F76	40818A94	40819F76	string_cluster	string_cluster 40818A94	107	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40818CAC:40818DEB	40818CAC	40818DEB	string_cluster	string_cluster 40818CAC	28	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40818EF8:40819399	40818EF8	40819399	string_cluster	string_cluster 40818EF8	14	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408194FC:4081A1A2	408194FC	4081A1A2	string_cluster	string_cluster 408194FC	62	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081A085:4081B12D	4081A085	4081B12D	string_cluster	string_cluster 4081A085	74	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081A2A4:4081A8FE	4081A2A4	4081A8FE	string_cluster	string_cluster 4081A2A4	24	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081AA02:4081B2D8	4081AA02	4081B2D8	string_cluster	string_cluster 4081AA02	41	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081B26C:4081BA26	4081B26C	4081BA26	string_cluster	string_cluster 4081B26C	42	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B3DB:4081B44C	4081B3DB	4081B44C	string_cluster	string_cluster 4081B3DB	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B573:4081B5EB	4081B573	4081B5EB	string_cluster	string_cluster 4081B573	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B746:4081B90F	4081B746	4081B90F	string_cluster	string_cluster 4081B746	7	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081BB48:4081C3C2	4081BB48	4081C3C2	string_cluster	string_cluster 4081BB48	39	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081BC3C:4081C389	4081BC3C	4081C389	string_cluster	string_cluster 4081BC3C	21	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081C4CB:4081C5BE	4081C4CB	4081C5BE	string_cluster	string_cluster 4081C4CB	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081C6FD:4081C73E	4081C6FD	4081C73E	string_cluster	string_cluster 4081C6FD	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081C847:4081CAAE	4081C847	4081CAAE	string_cluster	string_cluster 4081C847	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081C8B2:4081DB9E	4081C8B2	4081DB9E	string_cluster	string_cluster 4081C8B2	117	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081CBD0:4081CC54	4081CBD0	4081CC54	string_cluster	string_cluster 4081CBD0	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081CD84:4081CFC8	4081CD84	4081CFC8	string_cluster	string_cluster 4081CD84	8	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D138:4081D340	4081D138	4081D340	string_cluster	string_cluster 4081D138	13	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D51F:4081D5D9	4081D51F	4081D5D9	string_cluster	string_cluster 4081D51F	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D70E:4081D7AA	4081D70E	4081D7AA	string_cluster	string_cluster 4081D70E	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D9D8:4081DC71	4081D9D8	4081DC71	string_cluster	string_cluster 4081D9D8	8	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081DCE8:4081E0EE	4081DCE8	4081E0EE	string_cluster	string_cluster 4081DCE8	29	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081DDB7:4081DF2B	4081DDB7	4081DF2B	string_cluster	string_cluster 4081DDB7	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081E214:4081E8AA	4081E214	4081E8AA	string_cluster	string_cluster 4081E214	39	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081EA26:4081EC8E	4081EA26	4081EC8E	string_cluster	string_cluster 4081EA26	14	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081EDD4:4081EF56	4081EDD4	4081EF56	string_cluster	string_cluster 4081EDD4	4	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081F074:4081F520	4081F074	4081F520	string_cluster	string_cluster 4081F074	20	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081F2A7:4081F60D	4081F2A7	4081F60D	string_cluster	string_cluster 4081F2A7	11	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081F7F5:408201CC	4081F7F5	408201CC	string_cluster	string_cluster 4081F7F5	65	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081F8E7:4081FA16	4081F8E7	4081FA16	string_cluster	string_cluster 4081F8E7	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081FD2C:4081FE1E	4081FD2C	4081FE1E	string_cluster	string_cluster 4081FD2C	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40820308:40820484	40820308	40820484	string_cluster	string_cluster 40820308	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4082031F:40820AFE	4082031F	40820AFE	string_cluster	string_cluster 4082031F	37	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40820C64:40821314	40820C64	40821314	string_cluster	string_cluster 40820C64	32	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40820E9C:40820FCD	40820E9C	40820FCD	string_cluster	string_cluster 40820E9C	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4082147B:40821F54	4082147B	40821F54	string_cluster	string_cluster 4082147B	52	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408220C4:408231EF	408220C4	408231EF	string_cluster	string_cluster 408220C4	52	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408221E0:40822696	408221E0	40822696	string_cluster	string_cluster 408221E0	13	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40822868:40824470	40822868	40824470	string_cluster	string_cluster 40822868	160	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40823315:4082365D	40823315	4082365D	string_cluster	string_cluster 40823315	8	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082383E:408238C2	4082383E	408238C2	string_cluster	string_cluster 4082383E	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408239D0:40823A5C	408239D0	40823A5C	string_cluster	string_cluster 408239D0	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40823BD2:408242F1	40823BD2	408242F1	string_cluster	string_cluster 40823BD2	20	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408245A0:408249E9	408245A0	408249E9	string_cluster	string_cluster 408245A0	20	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082488B:40824A45	4082488B	40824A45	string_cluster	string_cluster 4082488B	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40824B70:40824E6F	40824B70	40824E6F	string_cluster	string_cluster 40824B70	9	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40824B90:40824FFC	40824B90	40824FFC	string_cluster	string_cluster 40824B90	32	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40825105:40828A60	40825105	40828A60	string_cluster	string_cluster 40825105	451	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408251B1:4082529E	408251B1	4082529E	string_cluster	string_cluster 408251B1	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408253D2:40825413	408253D2	40825413	string_cluster	string_cluster 408253D2	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408255BD:408256B5	408255BD	408256B5	string_cluster	string_cluster 408255BD	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40825A93:40825B64	40825A93	40825B64	string_cluster	string_cluster 40825A93	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40825D07:40825DDE	40825D07	40825DDE	string_cluster	string_cluster 40825D07	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40825F8A:408260B8	40825F8A	408260B8	string_cluster	string_cluster 40825F8A	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408264C7:4082653E	408264C7	4082653E	string_cluster	string_cluster 408264C7	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408266CE:40826795	408266CE	40826795	string_cluster	string_cluster 408266CE	4	0.7	stackimport	
