id	address	kind	resource_type	resource_id	name	media_type	output_file	confidence	source
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971F3C:STR#	40971F3C	resource_marker	STR#		STR# marker 40971F3C				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971F54:STR#	40971F54	resource_marker	STR#		STR# marker 40971F54				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409722A4:PACK	409722A4	resource_marker	PACK		PACK marker 409722A4				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409728D6:DRVR	409728D6	resource_marker	DRVR		DRVR marker 409728D6				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097327C:STR#	4097327C	resource_marker	STR#		STR# marker 4097327C				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097437A:DRVR	4097437A	resource_marker	DRVR		DRVR marker 4097437A				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40974890:DRVR	40974890	resource_marker	DRVR		DRVR marker 40974890				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409748DE:DRVR	409748DE	resource_marker	DRVR		DRVR marker 409748DE				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40975940:DRVR	40975940	resource_marker	DRVR		DRVR marker 40975940				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097598E:DRVR	4097598E	resource_marker	DRVR		DRVR marker 4097598E				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40975DC0:PACK	40975DC0	resource_marker	PACK		PACK marker 40975DC0				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40975DE4:PACK	40975DE4	resource_marker	PACK		PACK marker 40975DE4				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409766D0:DRVR	409766D0	resource_marker	DRVR		DRVR marker 409766D0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40976B36:DRVR	40976B36	resource_marker	DRVR		DRVR marker 40976B36				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40976D70:DRVR	40976D70	resource_marker	DRVR		DRVR marker 40976D70				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40977220:PACK	40977220	resource_marker	PACK		PACK marker 40977220				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409792D0:PACK	409792D0	resource_marker	PACK		PACK marker 409792D0				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4097A510:PACK	4097A510	resource_marker	PACK		PACK marker 4097A510				rom_structure_analysis
